,Title,Album,Artist,Release_Date,City,State,County,Country,Lyrics
2958,Patiently Waiting (Live At State Theater In Detroit),Invasion Part II: Conspiracy Theory,50 Cent,2003-04-15,New York,New York,Queens,USA,*NO LYRICS YET
2959,Baby Get On Your Knees,G-Unit Radio Part 1 - Smokin Day 2,50 Cent,2003-07-18,New York,New York,Queens,USA,Haha!
2960,Damn,G-Unit Radio Part 7 - King Of New York,50 Cent,2004-07-18,New York,New York,Queens,USA,[Intro: {DJ Whoo Kid}]
2961,Say What You Say,"No Mercy, No Fear",50 Cent,2003-01-01,New York,New York,Queens,USA,[Intro: 50 Cent]
2962,Part 2 & Bump Heads,"No Mercy, No Fear",50 Cent,2003-01-01,New York,New York,Queens,USA,[50 Cent]
2963,I'm So Hood,Beg for Mercy,50 Cent,2003-11-14,New York,New York,Queens,USA,[Intro]
2964,Chase You Outta Here,Kon the Louis Vuitton Don,50 Cent,2004-01-24,New York,New York,Queens,USA,[Verse]
2965,These Niggas Aint Hood,G-Unit Radio Part 6 - Motion Picture Shit,50 Cent,2004-07-18,New York,New York,Queens,USA,[Intro: 50 Cent's son Marquise]
2966,Look What You Made Me Do,24 Shots,50 Cent,2003-01-01,New York,New York,Queens,USA,[Verse 1]
2967,Barney (More Crime),The Jack Artist,Cormega,2004-02-16,New York,-=Jacka talking=-,Feelin' the pain baby,You know what I'm s...,
2968,Right Now,"Dipset-Byrd Gang, Vol. 1: All Eyes on Zeke",Juelz Santana,2003-01-01,New York,[Intro],Right now,"What's happenin'? Me, nigga",Santana The G...
2969,Take it to the Head,Priceless,Kelly Price,2003-01-01,New York,[Kelly],"Keith, Keith",They not ready for this,[Keith]
2970,Tell E Mundo,Duck Down Records Presents: CollectDISEditon,Sean Price,2003-02-11,New York,[Verse One],I ain't a player I just make a lot,Take a shot ...,
2971,Intro / Hello Popatrz,Music by Cavelight,Blockhead,2004-12-08,New York,Whaaaa! Whaaaa!,We lost the game because of Blockhead,Whaa...,
2972,Listen to the...,weareallgoingtoburninhellmegamix!!!,El-P,2003-01-01,New York,"Listen to the musn'ts, child",Listen to the don'ts,Listen to...,
2973,Who's America?,weareallgoingtoburninhellmegamix!!!,El-P,2003-01-01,New York,The Face You Have Seen,April has come,(April of 1941),The m...
2974,Les Citées D'or,weareallgoingtoburninhellmegamix!!!,El-P,2003-01-01,New York,You are now listening to the sounds of the weareallgoingtob...,,,
2975,Oxycontin Part 2,Definitive Jux Presents III,El-P,2004-01-01,New York,[El-P and Cage together],Shananananana,Shananananana,Shanan...
2976,Guns,weareallgoingtoburninhell,El-P,2003-01-01,New York,[Hook],2019 time to get shit straight,The farther from the ...,
2977,Happy New Year,weareallgoingtoburninhell,El-P,2003-01-01,New York,El-P Happy New Year Lyrics,"See, the thing is I was looking...",,
2978,Hemoglobin is a Cool Word,weareallgoingtoburninhell,El-P,2003-01-01,New York,[Intro],'Cause everything is okay,"Man, it's more than okay,...",
2979,Something is Wrong,High Water,El-P,2004-10-19,New York,[Instrumental],            ,          ,        ...
2980,When the Moon Was Blue,High Water,El-P,2004-10-19,New York,[Instrumental],            ,          ,        ...
2981,Bodyrock,Tony Hawk's Pro Skater 4 Soundtrack,Biz Markie,2003-01-01,New York,[Intro],You know it's ill,It's the B-I-Z Markie,With my ma...
2982,Lovely Daze/Memory Lane,On My Way to Church,Cam’ron,2004-01-01,New York,[Intro/Hook fading in and out in background],"Ok, ok, (heeey...",,
2983,Jamaican Joint (feat. Cam'ron and Juelz Santana),On My Way to Church,Cam’ron,2004-01-01,New York,"..Killa, Jones, Jones, Let's Go are",[Cam'Ron],Clowns don't...,
2984,It Gets Rough,The Grant Rice Empire Mixtape,Tech N9ne,2003-01-01,Kansas City,[Intro: Grant Rice],Grant Rice!,Tech N9ne!,Empire!
2985,Beef,Beef Soundtrack,Tech N9ne,2003-10-07,Kansas City,[Intro: Tech N9ne],But the cattle had no idea when entering...,,
2986,Kansas City King,Murder Dog Presents Kansas City,Tech N9ne,2004-01-01,Kansas City,[Intro],(Hog tie 'em x3),Them niggas is dumb niggas,Disresp...
2987,"10,000 Bars","SQ7-10,000 Bars",Lil Wayne,2003-01-01,New Orleans,Louisiana,Orleans,USA,[Intro: Lil Wayne]
2988,So Many Places,Da Drought,Lil Wayne,2004-06-01,New Orleans,Louisiana,Orleans,USA,(Chorus/Intro)
2989,Intro,Da Drought,Lil Wayne,2004-06-01,New Orleans,Louisiana,Orleans,USA,Rasta dem king of the jungle
2990,Cops Is Watching,Da Drought,Lil Wayne,2004-06-01,New Orleans,Louisiana,Orleans,USA,Hey Hey Hey!
2991,Da Drought,Da Drought,Lil Wayne,2004-06-01,New Orleans,Louisiana,Orleans,USA,"Weezy F Baby, F ya ladies so quick so fast"
2992,Pop Goes The Pussy,Da Drought,Lil Wayne,2004-06-01,New Orleans,Louisiana,Orleans,USA,[Girl]
2993,Behind the Walls (East Coast Gangsta Mix),Godfather Buried Alive,Shyne,2004-01-01,Belize City,[Kurupt],"Kurupt and Daz, grips on the handle",Two to the man...,
2994,For the Record,Godfather Buried Alive,Shyne,2004-01-01,Belize City,Shyne,( for the record ),"Where he at, where he at?",Uhh
2995,Here With Me,Godfather Buried Alive,Shyne,2004-01-01,Belize City,[Shyne],"P-O, nothing more to it","I'm gully, what, I've reall...",
2996,Robbery,The Lex Diamond Story,Raekwon,2003-12-16,New York,New York,Richmond,USA,[Intro: Polite (P.C.)]
2997,Lex Diamond Story Outro,The Lex Diamond Story,Raekwon,2003-12-16,New York,New York,Richmond,USA,Some still say Lex is a powerful man
2998,All Over Again,The Lex Diamond Story,Raekwon,2003-12-16,New York,New York,Richmond,USA,[Intro: sample]
2999,Once Upon a Time,The Lex Diamond Story,Raekwon,2003-12-16,New York,New York,Richmond,USA,[Intro: Raekwon (Tekitha)]
3000,Craig G and Will Pack Freestyle (Scenes of the Underworld),Scenes of the Underworld,Pharoahe Monch,2003-01-07,New York,[Intro: Craig G],"What?  Ha.  Cover your ears, son.  Uh.  Co...",,
3001,"Jedi Son of Spock, Mr. Eon, Avatar the Articulate, and Percee P Freestyle (Scenes of the Underworld)",Scenes of the Underworld,Pharoahe Monch,2003-01-07,New York,"Eddie Ill & D.L. ft. Jedi Son of Spock, Mr. Eon, Avatar the...",,,
3002,"Wordsworth, Punchline, MFW, Queen Herawin, and Invincible Freestyle (A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1)",A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1,Pharoahe Monch,2003-02-26,New York,[Intro: Wordsworth],"D.L., Eddie Ill.  This how we do.  Yo, ...",,
3003,"Oktober, Ike P, and Diabolic Freestyle (A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1)",A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1,Pharoahe Monch,2003-02-26,New York,[Intro: Oktober],"Yes, yes, yeah, yeah.  It’s gonna go down ...",,
3004,"A.L. (All Lyrics), Avatar the Articulate, Overbite, Mazzi, A.P., and J-Treds Freestyle (A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1)",A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1,Pharoahe Monch,2003-02-26,New York,"Eddie Ill & D.L. ft. A.L. (All Lyrics), Avatar the Articula...",,,
3005,"J-Live, Choclair, Etcetera, and Mr. Complex Freestyle (A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1)",A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1,Pharoahe Monch,2003-02-26,New York,[Intro: J-Live],"Jingle bells.  Peace, y’all, it’s J-Live.  ...",,
3006,I.G. Off and Supernatural Freestyle (A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1),A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1,Pharoahe Monch,2003-02-26,New York,[Intro: I.G. Off and Supernatural],I.G. Off: Like heroine. ...,,
3007,Brooklyn Academy Freestyle (A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1),A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1,Pharoahe Monch,2003-02-26,New York,[Intro: Lil Lego and Will Tell],"Lil Lego: Yo.  Yo, Eddie Il...",,
3008,"Ace Lover, Stelf Index, Blowout, and Phase 1 Freestyle (A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1)",A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1,Pharoahe Monch,2003-02-26,New York,[Intro: Ace Lover and (Blowout)],"One, two, one, two (One, t...",,
3009,"Tonedeff, PackFM, Substantial, Rok One, and Ocean Freestyle (A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1)",A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1,Pharoahe Monch,2003-02-26,New York,[Intro: Tonedeff and (Substantial)],I’m just fucking with y...,,
3010,The Hole Repertoire,A Trip Below,Pharoahe Monch,2003-01-07,New York,"[Jay-Z: cut and scratched] ""You know the whole repertoire""",...,,
3011,"Supernatural, I.G. Off, Talib Kweli, and Hazadous Freestyle (A Trip Below)",A Trip Below,Pharoahe Monch,2003-01-07,New York,[Intro: Supernatural],Ha.  Ha.  Beats for your mind.  Beats...,,
3012,"Wordsworth, L-Fudge, Mike Zoot, and Hazadous Freestyle (A Trip Below)",A Trip Below,Pharoahe Monch,2003-01-07,New York,[Intro: Wordsworth],"Yo, yo.  Check it out.  For Eddie Ill a...",,
3013,"J-Live, Obsession, Wizdom Life, A.L., and Kwest Tha Madd Lad Freestyle (A Trip Below)",A Trip Below,Pharoahe Monch,2003-01-07,New York,"[Intro: Eddie Ill, D.L., HB, and J-Live]","Eddie Ill: Yo, thi...",,
3014,Restaurant (Skit),The Lex Diamond Story,Raekwon,2003-12-16,New York,New York,Richmond,USA,So you got the message?
3015,The Hood,The Lex Diamond Story,Raekwon,2003-12-16,New York,New York,Richmond,USA,[Hook: Tiffany Villareal]
3016,Ice Cream Pt. 2,The Lex Diamond Story,Raekwon,2003-12-16,New York,New York,Richmond,USA,[Intro: Raekwon]
3017,Elevated Orange,Shaheedullah and Stereotypes,Ali Shaheed Muhammad,2004-10-12,New York,[Verse 1],This is what you get when you ____ around with a ...,,
3018,Social Reform,Shaheedullah and Stereotypes,Ali Shaheed Muhammad,2004-10-12,New York,Eventually you will have to listen to what is true,It is in...,,
3019,Cheap Thrills,Unreleased,Dom Pachino,2003-09-01,New York,* background vocals,[Intro: P.R. Terrorist],"Mira, mira mam...",
3020,I Got Music,Unreleased,Dom Pachino,2003-09-01,New York,[Intro: Dom PaChino (Lord Superb)],It's like everything I t...,,
3021,1000 Dollar Watches,Unreleased,Dom Pachino,2003-09-01,New York,[Dom PaChino],The Terrorist..,Here's your opportunity to ju...,
3022,I'm That Nigga,Domination,Dom Pachino,2004-02-24,New York,[Chorus: Dom Pachino],(I'm that nigga) When I enter the spo...,,
3023,The Race,Domination,Dom Pachino,2004-02-24,New York,[Intro: Dom Pachino],Yeah... yo... yo...,[Hook: Dom Pachin...,
3024,Girls Callin',Red Star Sounds Presents: Def Jamaica,Ghostface Killah,2003-10-13,New York,New York,Richmond,USA,[Intro: Elephant Man]
3025,Whoo Kid,"No Mercy, No Fear",50 Cent,2003-01-01,New York,New York,Queens,USA,[50 Cent talking]
3026,Green Lantern,"No Mercy, No Fear",50 Cent,2003-01-01,New York,New York,Queens,USA,[Intro]
3027,PT2 & Bump Heads,"No Mercy, No Fear",50 Cent,2003-01-01,New York,New York,Queens,USA,[50 Cent]
3028,Soldier,"No Mercy, No Fear",50 Cent,2003-01-01,New York,New York,Queens,USA,[50 Cent and DJ Whoo Kid talking]
3029,Elementary,"No Mercy, No Fear",50 Cent,2003-01-01,New York,New York,Queens,USA,[Intro]
3030,Same Song,This is an E.P. Release,2Pac,2003-11-11,New York,California,Marin,USA,[Hook]
3031,P.I.M.P (G-Unit Remix),Get Rich or Die Tryin’,Lloyd Banks,2003-11-25,New Carrollton,[Hook: 50 Cent],Don't know what you heard about me,But a bi...,
3032,Why You Gotta Look So Good,Moodring,Lloyd Banks,2003-07-26,New Carrollton,[Bridge: Mya {DJ Whoo Kid}],Mmm mmm,Mmm mmm,Mmm mmm
3033,Rock (Remix),Blame it on the Hooch,Louis Logic,2004-07-08,New York,[Verse 1 - Louis Logic],Well it's the clown prince of the r...,,
3034,Words From Eminem,God's Plan,50 Cent,2003-01-01,New York,New York,Queens,USA,[Lloyd Banks]
3035,Tainted,God's Plan,50 Cent,2003-01-01,New York,New York,Queens,USA,[Hook 2X: 50 Cent - singing]
3036,Gangsta'd Up,God's Plan,50 Cent,2003-01-01,New York,New York,Queens,USA,"{*set to the beat of ""G'd Up"" by Tha Eastsidaz*}"
3037,Mind's Playing Tricks,God's Plan,50 Cent,2003-01-01,New York,New York,Queens,USA,[Intro:]
3038,Gunz For Sale,Mixtape Legend,50 Cent,2004-01-01,New York,New York,Queens,USA,[Intro]
3039,Funk Flex (Guess Who's Back Freestyle),"No Mercy, No Fear",50 Cent,2003-01-01,New York,New York,Queens,USA,Funk Flex
3040,Banks Victory,"No Mercy, No Fear",50 Cent,2003-01-01,New York,New York,Queens,USA,"[Intro: 50 Cent, (The Notorious B.I.G.), [DJ Whoo Kid]]"
3041,Fat Bitch,"No Mercy, No Fear",50 Cent,2003-01-01,New York,New York,Queens,USA,[Intro: 50 Cent]
3042,After My Chedda,"No Mercy, No Fear",50 Cent,2003-01-01,New York,New York,Queens,USA,[Intro]
3043,The World,God's Plan,50 Cent,2003-01-01,New York,New York,Queens,USA,"{*set to B.I.G.'s ""The World is Filled..."" instrumental*}"
3044,If Dead Men Could Talk,God's Plan,50 Cent,2003-01-01,New York,New York,Queens,USA,[50 Cent]
3045,Follow Me Gangster,24 Shots,50 Cent,2003-01-01,New York,New York,Queens,USA,[Intro: 50 Cent]
3046,His.Story,The Greatest Story Never Told,Shyheim,2004-07-03,New York,[Intro: (sample) Shyheim],"(Hurry hurry, step right up, see ...",,
3047,Carry On,The Greatest Story Never Told,Shyheim,2004-07-03,New York,"[Intro: Shyheim, sample]","""Is that any way for a man to carr...",,
3048,Summer VA-K,The Ghettos Tryin' to Kill Me!,Master P,2004-12-11,New Orleans,Louisiana,Plaquemines,USA,Turn Up Group
3049,Soldiers,This Is What You Made Me,Rammellzee,2003-11-11,New York,Ha! I told ya,Soldiers shoulder. Let's bass and bass it,I s...,
3050,Problem Child,Unreleased,Dom Pachino,2003-09-01,New York,[sample repeated throughout the song],"""No matter what the p...",,
3051,Hard Copy,Unreleased,Dom Pachino,2003-09-01,New York,"{*sampled singer ""ohh-ohh-whoa""ing in background throughout...",,,
3052,Speculations,Domination,Dom Pachino,2004-02-24,New York,[Intro: Dom Pachino],"Niggas talking this, niggas talking th...",,
3053,Intro,Me Against the World,2Pac,2003-11-11,New York,California,Marin,USA,[Male Reporter]
3054,Gangsta Gangsta,The ReggaeTony Album,Tony Touch,2005-01-01,New York,"Letra de ""Gangsta Gangsta"" ft. Tego Calderón & Dj Premier",...,,
3055,Rock Steady,The Piece Maker 2,Tony Touch,2004-03-02,New York,[Produced by The RZA],[Intro: George McCrae],Go head..,[R...
3056,Dimelo,The Piece Maker 2,Tony Touch,2004-03-02,New York,[Tony Touch],Aroz con pollo,Cafe con leche,"Yeah, yeah"
3057,Eastside Westside,Thoughts Of A Predicate Felon,Lloyd Banks,2005-01-01,New Carrollton,[Tony Yayo],This that gangster shit (uh-huh),This that ride...,
3058,Love My Style,Thoughts Of A Predicate Felon,Lloyd Banks,2005-01-01,New Carrollton,Shit is toxic nigga...,[Hook: Tony Yayo],These hoes don't ...,
3059,It is What it Is,Thoughts Of A Predicate Felon,Lloyd Banks,2005-01-01,New Carrollton,[Intro: Tony Yayo],Yeah it's the talk of New York (yeah yea...,,
3060,Curious,Thoughts Of A Predicate Felon,Lloyd Banks,2005-01-01,New Carrollton,"[Yay] I'm sayin Ma, what's your name?",[Kay] My name is Kay,...,
3061,Pimpin,Thoughts Of A Predicate Felon,Lloyd Banks,2005-01-01,New Carrollton,[Intro/Hook: Tony Yayo],"I don't, love, hoes - I'm sharin th...",,
3062,Project Princess,Thoughts Of A Predicate Felon,Lloyd Banks,2005-01-01,New Carrollton,"[Jagged Edge] Yeah yeah, yeah yeah ohhhh, J.E. {repeat 2X}",...,,
3063,Live by the Gun,Thoughts Of A Predicate Felon,Lloyd Banks,2005-01-01,New Carrollton,[Intro: Tony Yayo],Yeah,"Yo, Word up man",Fuckin cold out her...
3064,G-Shit,Thoughts Of A Predicate Felon,Lloyd Banks,2005-01-01,New Carrollton,[Verse 1: Tony Yayo],"Yeah, yeah (c'mon!)",These rich sluts l...,
3065,Dear Suzie,Thoughts Of A Predicate Felon,Lloyd Banks,2005-01-01,New Carrollton,[Intro: Tony Yayo],Aiyyo Fif' (yeah),"Yo Fif', I got this le...",
3066,Drama Setter,Thoughts Of A Predicate Felon,Lloyd Banks,2005-01-01,New Carrollton,[Prison guard],"""Mr. Yayo, you're free to go","So, I guess thi...",
3067,I Know You Don't Love Me,Thoughts Of A Predicate Felon,Lloyd Banks,2005-01-01,New Carrollton,[Hook: 50 Cent],"I know you don't love me, you ain't the sam...",,
3068,Homicide,Thoughts Of A Predicate Felon,Lloyd Banks,2005-01-01,New Carrollton,[Intro: Tony Yayo],Turn me up in them fuckin headphones rea...,,
3069,Tattle Teller,Thoughts Of A Predicate Felon,Lloyd Banks,2005-01-01,New Carrollton,[Intro/Hook 2X: Tony Yayo],"I ain't your friend, you a tattl...",,
3070,We Don't Give a Fuck,Thoughts Of A Predicate Felon,Lloyd Banks,2005-01-01,New Carrollton,[Olivia harmonizing for 10 seconds],[Hook: Olivia],"We, we ...",
3071,I'm So High,Thoughts Of A Predicate Felon,Lloyd Banks,2005-01-01,New Carrollton,[Ad libs for first 10 seconds],[Hook: Tony Yayo],"Man I, ge...",
3072,Dear Mama (Italian tribute),Me Against the World,2Pac,2003-11-11,New York,California,Marin,USA,[Verse 1]
3073,The Big Sleep,Brutality Part 1,Necro,2003-01-03,New York,[Hook: Goretex],"One time for sharp cats, killing so biblica...",,
3074,Beautfiul Music for You to Die To ( Türkçe Çeviri ),The Pre-Fix for Death,Necro,2004-09-21,New York,[Verse 1],"Ölüsün oğlum, şimdi hazırlanan yemekte bir etsin",...,
3075,Macking and Pimping,Raw & Uncut,Turk,2003-07-15,New Orleans,[Turk talking],Uh uh,Look bitch better have my money (Bette...,
3076,Penitentiary Chances,Raw & Uncut,Turk,2003-07-15,New Orleans,Uh...nigga nigga uh.... nigga nigga,Uh this what we do,[Cho...,
3077,Dat Look,Raw & Uncut,Turk,2003-07-15,New Orleans,[Intro - Turk - talking] (*echo*),Uh huh,Young Turk nigga,D...
3078,I Luv U For Dat,Raw & Uncut,Turk,2003-07-15,New Orleans,[Intro],Hmmmm...,Listen you might learn something,"Uh (uh), ..."
3079,Letter from That World,Raw & Uncut,Turk,2003-07-15,New Orleans,[Turk],Nigga..,"Bitch niggas turnin state, you understand",Ni...
3080,Our Life,Brutality Part 1,Necro,2003-01-03,New York,[Intro: Necro],Yo...,Don't make me flip on you,Actually you...
3081,Swordfish,Brutality Part 1,Necro,2003-01-03,New York,[Verse 1],Killing snakes that sidewind,Tripping on Jakes & ...,
3082,You Did It,The Pre-Fix for Death,Necro,2004-09-21,New York,"[Sample: Billy Joel's ""We Didn't Start the Fire""]","""Ayatollo...",,
3083,Buck 'Em Down,The Beautiful Mix CD,Talib Kweli,2004-06-23,New York,New York,Kings,USA,[Verse One: Styles P]
3084,Move Back,The Beautiful Mix CD,Talib Kweli,2004-06-23,New York,New York,Kings,USA,[Intro]
3085,Lonely People,The Beautiful Mix CD,Talib Kweli,2004-06-23,New York,New York,Kings,USA,[Hook]
3086,Peace of Mind (Interlude Version),Peace of Mind,Talib Kweli,2004-08-04,New York,New York,Kings,USA,Talib Kweli - “Peace of Mind (Interlude Version)”
3087,Peace of Mind,Peace of Mind,Talib Kweli,2004-08-04,New York,New York,Kings,USA,Talib Kweli - “Peace of Mind”
3088,Phoenix,The Beautiful Mix CD,Talib Kweli,2004-06-23,New York,New York,Kings,USA,[Dave Chappelle as RICK JAMES]
3089,B.D.K.,The Beautiful Mix CD,Talib Kweli,2004-06-23,New York,New York,Kings,USA,[Verse 1: Talib Kweli]
3090,So Seductive,Thoughts Of A Predicate Felon,Lloyd Banks,2005-01-01,New Carrollton,[Produced by Punch],[Intro- Tony Yayo],Aww nigga do you,Kn...
3091,Clue Shit!,"No Mercy, No Fear",50 Cent,2003-01-01,New York,New York,Queens,USA,[ Intro - 50 Cent talking ]
3092,Back Seat,"No Mercy, No Fear",50 Cent,2003-01-01,New York,New York,Queens,USA,[50 Cent]
3093,E.M.S.,"No Mercy, No Fear",50 Cent,2003-01-01,New York,New York,Queens,USA,"{*song borrows beat & samples from Hi-Tek & Talib Kweli's ""..."
3094,Say What You Want,"No Mercy, No Fear",50 Cent,2003-01-01,New York,New York,Queens,USA,[Intro: 50 Cent]
3095,G-Unit / U.T.P.,"No Mercy, No Fear",50 Cent,2003-01-01,New York,New York,Queens,USA,[Male voice talking]
3096,8 Mile Road (G-Unit Remix),The New Breed (Bonus Disc),50 Cent,2003-04-15,New York,New York,Queens,USA,[50 Cent]
3097,In Da Hood,The New Breed (Bonus Disc),50 Cent,2003-04-15,New York,New York,Queens,USA,[Hook: Brooklyn]
3098,True Loyalty,The New Breed (Bonus Disc),50 Cent,2003-04-15,New York,New York,Queens,USA,[50 Cent]
3099,In My Hood,Real Talk,Fabolous,2004-11-09,New York,[Hook],When you grow up in my hood,Help don't show up in my...,
3100,My Life,Street Dreams,Fabolous,2003-11-04,New York,[Mary J. Blige],(*harmonizing*),All my love is all I have,A...
3101,Respect,Street Dreams,Fabolous,2003-11-04,New York,"Yea, I ain't scared of you motherfuckers",I ain't no killer ...,,
3102,My Right Hand,Unreleased,Dom Pachino,2003-09-01,New York,[sample],"Hey Leroy (what?) Your mama, is callin' you man",[...,
3103,Holy Water,Unreleased,Dom Pachino,2003-09-01,New York,[Intro: P.R. Terrorist],"Holy water, heh, what?",[P.R. Terro...,
3104,Tear Drops,Unreleased,Dom Pachino,2003-09-01,New York,[Intro: P.R. Terrorist],"No more pain, Tiara",[P.R. Terroris...,
3105,My Story,Domination,Dom Pachino,2004-02-24,New York,[Intro: Dom Pachino],A lot of things changed...,Best friend...,
3106,Addicted to Sex,Domination,Dom Pachino,2004-02-24,New York,[Dom Pachino],"Yo, you tell me that you love me, when you kn...",,
3107,It Ain't Fair,Domination,Dom Pachino,2004-02-24,New York,[Dom Pachino],"Yo, yo, last man standing, welding a cannon",H...,
3108,Victims,Unreleased,Dom Pachino,2003-09-01,New York,[Intro: P.R. Terrorist],"Not enough liquor, man",Go to the L....,
3109,Endless Love,Unreleased,Dom Pachino,2003-09-01,New York,[Intro: Dom PaChino (girl)],"Persistence, bitch, is everythi...",,
3110,Criminals Too,Domination,Dom Pachino,2004-02-24,New York,[Intro: Dom Pachino],I think I've been punished...,They don...,
3111,Drop On U,Domination,Dom Pachino,2004-02-24,New York,[Intro: Dom Pachino],"Aiyo, pull the car over, right here",Ye...,
3112,Where’s the Love?,Don’t Get Mad Get Money,Fredro Starr,2003-01-01,New York,"""Love is the center, together we can work it out",If we ever...,,
3113,Vendetta,The Movement,Inspectah Deck,2003-06-10,New York,[Intro: Inspectah Deck],"Yeah, back from the dead",It's the R...,
3114,Jane Doe and Ray Rip Ya'll Freestyle (A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1),A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1,Pharoahe Monch,2003-02-26,New York,[Intro: Jane Doe],"Uh.  Jane Doe, Eddie Ill & D.L. Tape 4.  ...",,
3115,Eddie Ill Outro (A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1),A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1,Pharoahe Monch,2003-02-26,New York,[Outro: Eddie Ill],"Yeah, once again, this is Eddie Ill. & D...",,
3116,Eastern Conference Freestyle (A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1),A Long Rhyme Coming: The 1999 to 2002 Sessions Pt. 1,Pharoahe Monch,2003-02-26,New York,[Intro: Mr. Eon],Ah.  Ah.  Eastern Conference.  This is how...,,
3117,Me Against the World [Tracklist + Album Art],Me Against the World,2Pac,2003-11-11,New York,California,Marin,USA,Tracklist:
3118,Outlaw,Me Against the World,2Pac,2003-11-11,New York,California,Marin,USA,[Intro: 2Pac & RahRah]
3119,Bury Me a G,Thug Life: Volume 1,2Pac,2003-11-11,New York,California,Marin,USA,[Intro]
3120,Big City,The Movement,Inspectah Deck,2003-06-10,New York,[Intro: Inspectah Deck],"Yeah, yeah, yo",[Inspectah Deck],We...
3121,Framed,The Movement,Inspectah Deck,2003-06-10,New York,[Inspectah Deck],I represent myself and my own defense,Inno...,
3122,The Consequence,Take 'Em to the Cleaners,Consequence,2004-01-24,New York,[Verse 1:],Oh aight,Observe as i see more hundreds than geo...,
3123,Take It As A Loss,Take 'Em to the Cleaners,Consequence,2004-01-24,New York,[Intro: Kanye],This is a story about uh ballers and players...,,
3124,'03 Till Infinity,Take 'Em to the Cleaners,Consequence,2004-01-24,New York,[Intro: Consequence],"Yo, this Consequence",From the mighty K...,
3125,Turn Ya Self In,Take 'Em to the Cleaners,Consequence,2004-01-24,New York,[Intro] [Consequence Talking],You're in a privileged positi...,,
3126,Getting Out the Game,Take 'Em to the Cleaners,Consequence,2004-01-24,New York,[Kanye West],There's only one girl on my agenda,(You talkin...,
3127,So Soulful,Take 'Em to the Cleaners,Consequence,2004-01-24,New York,[Intro],"Yeah, DC",Stand up for your boy Ka Ree,I go by the n...
3128,Gettin' Money,Straight From the N.O.,Choppa,2003-04-15,New Orleans,[Chorus],"We gettin' money whoadie, And you can trust that",T...,
3129,Lookin' Good,Straight From the N.O.,Choppa,2003-04-15,New Orleans,(*talking*),"What's up, ah ha, come on","Choppa Style. Jahbo, ...",
3130,Bonus Track #1,Straight From the N.O.,Choppa,2003-04-15,New Orleans,[Choppa],"While you walking I'm running, while you shooting ...",,
3131,Bonus Track #2,Straight From the N.O.,Choppa,2003-04-15,New Orleans,Come on - 14x,[Choppa],"Now what's happ'n, what's crackalti...",
3132,Hatin',Straight From the N.O.,Choppa,2003-04-15,New Orleans,(*Money & Hype talking*),What you-what you think about that...,,
3133,Holla at Me,Straight From the N.O.,Choppa,2003-04-15,New Orleans,[Hook - 4x],"Holla at me (holla at me), holla at me (holla a...",,
3134,Shake it Like That,Straight From the N.O.,Choppa,2003-04-15,New Orleans,[Hook],"Why don't you shake it like that, keep shaking it up...",,
3135,Represent Yo Block,Straight From the N.O.,Choppa,2003-04-15,New Orleans,(*talking*),Whaa-whaa-what's up whoadie what's up,B. Gizzle...,
3136,The Saga (Remix),Special Edition: The True Meaning + The Realness,Cormega,2004-10-19,New York,[Verse One: Cormega],+The Saga+ begins,I'm a reflection of ...,
3137,Ambitions As A Rider Freestyle,Sports Center Vol.1,Curren$y,2004-03-30,New Orleans,[Verse: Curren$y],Yeah,You know what it is man,Curren$y the...
3138,Down For My Niggaz freestyle,Sports Center Vol.1,Curren$y,2004-03-30,New Orleans,[verse 1: Curren$y],"Yeah, fuck them other niggas",I'm going...,
3139,Hovi Baby,Sports Center Vol.1,Curren$y,2004-03-30,New Orleans,Yeah,Hot Spitta,I just pop-pop niggas,Yeah
3140,Car Trouble,Always Will Be,J-Live,2003-04-05,New York,[Conversation between passenger and J-Live],"Yo, where you g...",,
3141,Freestyle (DJ Green Lantern),Countdown To Armageddon (Invasion Vol. 3),N.O.R.E.,2004-01-01,New York,*NO LYRICS YET,            ,          ,        ...
